date,trade_count,unique_accounts,total_volume,avg_trade_size,net_realized_pnl,mean_realized_pnl,win_rate,price_std,buy_sell_ratio,sentiment,sent_lag_1,sent_lag_2,sent_lag_3,high_volume_day,pnl_sign_next
2023-12-05,2,1,24998.62,12499.31,0.0,0.0,0.0,0.7071067811865476,0.0,1.0,,,,0,-1.0
2023-12-14,2,1,25525.84,12762.92,-527.2331300000001,-263.61656500000004,0.0,0.7071067811865476,2000.0,1.0,1.0,,,0,1.0
2023-12-22,7,1,59216.149999999994,8459.449999999999,141.832675,20.261810714285712,0.2857142857142857,107.58673134687305,2.4987506246876565,1.0,1.0,1.0,,0,-1.0
2023-12-24,12,1,200046.40000000002,16670.533333333336,-5.698476,-0.47487300000000005,0.3333333333333333,5.248376372312681,0.714183688044565,1.0,1.0,1.0,1.0,0,1.0
2023-12-29,4,1,63110.83,15777.7075,24.302049999999998,6.075512499999999,0.75,16.673332000532486,2.997002997002997,1.0,1.0,1.0,1.0,0,1.0
2023-12-30,15,1,299490.24,19966.016,35.896412000000026,2.393094133333335,0.5333333333333333,79.58146470007645,0.6665926008221309,1.0,1.0,1.0,1.0,0,1.0
2024-01-01,4,1,100729.62,25182.405,281.677062,70.4192655,0.25,119.33426442839676,0.33322225924691773,1.0,1.0,1.0,1.0,0,-1.0
2024-01-02,4,1,102207.20999999999,25551.802499999998,-252.794221,-63.19855525,0.0,107.16770346828747,0.33322225924691773,1.0,1.0,1.0,1.0,0,1.0
2024-01-05,45,1,1203066.66,26734.814666666665,226.57376300000004,5.034972511111112,0.2,288.1899310587257,0.9564801530368244,1.0,1.0,1.0,1.0,1,-1.0
2024-01-06,3,1,100163.26000000001,33387.753333333334,-129.30096,-43.10032,0.0,64.95382975621992,1.9980019980019983,1.0,1.0,1.0,1.0,0,-1.0
2024-01-07,15,1,344786.2,22985.746666666666,-129.943901,-8.662926733333334,0.26666666666666666,133.79408485750525,1.142693900871304,1.0,1.0,1.0,1.0,0,1.0
2024-01-08,41,1,745822.95,18190.803658536584,574.1827549999999,14.004457439024389,0.3902439024390244,683.7322593230706,0.41377883521257885,1.0,1.0,1.0,1.0,0,1.0
2024-01-09,20,1,349358.13,17467.9065,547.545704,27.3772852,0.15,194.7330899353973,0.1764602082230457,1.0,1.0,1.0,1.0,0,-1.0
2024-01-10,48,1,939875.62,19580.742083333334,-206.15056199999995,-4.294803374999999,0.3541666666666667,476.90531225988093,0.7777489722602866,1.0,1.0,1.0,1.0,0,-1.0
2024-01-11,5,2,96094.5,19218.9,-50.23381,-10.046762,0.0,209.75867085772592,3.9960039960039966,1.0,1.0,1.0,1.0,0,-1.0
2024-01-12,6,1,198082.87,33013.81166666667,-1925.519024,-320.9198373333333,0.0,710.5768548627714,1.999000499750125,1.0,1.0,1.0,1.0,0,0.0
2024-01-15,5,1,50006.24,10001.248,0.0,0.0,0.0,0.8366600265328797,5000.0,,1.0,1.0,1.0,0,-1.0
2024-01-16,4,2,93708.89,23427.2225,-2431.1318579999997,-607.7829644999999,0.5,84.29709366283144,0.0,1.0,,1.0,1.0,0,-1.0
2024-01-17,25,1,399916.62,15996.6648,-32.75793199999999,-1.3103172799999996,0.12,246.04560552872886,0.7856581672737661,1.0,1.0,,1.0,0,1.0
2024-01-18,25,1,199745.83,7989.833199999999,238.8017,9.552068,0.12,36.92907616860459,0.13635743829825916,1.0,1.0,1.0,,0,-1.0
2024-01-19,15,1,224953.44,14996.896,-41.045332,-2.7363554666666667,0.3333333333333333,135.10778765753759,1.4997500416597234,,1.0,1.0,1.0,0,-1.0
2024-01-20,35,1,500576.23,14302.178,-569.841988,-16.281199657142857,0.0,86.4277227543578,0.8420609441608335,,,1.0,1.0,0,0.0
2024-01-21,5,1,49996.55,9999.310000000001,0.0,0.0,0.0,1.095445115009834,0.0,1.0,,,1.0,0,-1.0
2024-01-22,12,2,125105.34999999999,10425.445833333333,-99.59926700000001,-8.299938916666667,0.0,222.44241679113108,0.4999375078115236,1.0,1.0,,,0,1.0
2024-01-23,13,1,218733.62,16825.663076923076,2470.894349,190.0687960769231,0.23076923076923078,187.51239275284468,1.5996800639872024,,1.0,1.0,,0,1.0
2024-01-24,27,1,445920.15,16515.56111111111,220.74672700000002,8.175804703703704,0.2222222222222222,211.68258234799856,0.9285051067780873,,,1.0,1.0,0,1.0
2024-01-29,26,1,199938.52,7689.943076923077,54.032264,2.078164,0.38461538461538464,13.34333599159468,0.6249609399412537,1.0,,,1.0,0,-1.0
2024-01-30,30,1,200575.35,6685.845,-576.288932,-19.209631066666667,0.0,209.76807389969306,0.874945315917755,1.0,1.0,,,0,-1.0
2024-01-31,541,1,3153128.44,5828.333530499076,-70.53156000000001,-0.13037256931608135,0.37153419593345655,122.95740749122507,1.2448081128294073,1.0,1.0,1.0,,1,1.0
2024-02-02,14,1,199944.62,14281.75857142857,48.349943999999994,3.453567428571428,0.14285714285714285,44.86512142944529,0.7499062617172854,1.0,1.0,1.0,1.0,0,-1.0
2024-02-03,38,1,302764.67,7967.491315789473,-330.656573,-8.701488763157894,0.0,111.57690354820461,0.18749414080809976,1.0,1.0,1.0,1.0,0,1.0
2024-02-04,9,1,102131.12999999999,11347.903333333332,312.585267,34.73169633333333,1.0,0.5270462766951773,9000.0,1.0,1.0,1.0,1.0,0,-1.0
2024-02-05,25,1,300069.81,12002.7924,-110.55305100000001,-4.4221220400000005,0.04,175.68203285102265,0.5624648459471283,1.0,1.0,1.0,1.0,0,1.0
2024-02-06,535,1,4200983.36,7852.305345794393,830.300255,1.5519630934579438,0.2635514018691589,246.2000630280936,0.8321889308598259,1.0,1.0,1.0,1.0,1,1.0
2024-02-11,12,1,100341.75,8361.8125,1.832736,0.152728,0.3333333333333333,16.467599041202234,0.33329630041106545,1.0,1.0,1.0,1.0,0,-1.0
2024-02-12,9,1,103399.72,11488.857777777777,-3522.533369,-391.3925965555556,0.0,21.95133506443496,9000.0,1.0,1.0,1.0,1.0,0,0.0
2024-02-14,12,1,49999.19,4166.599166666667,0.0,0.0,0.0,0.38924947207968014,0.0,1.0,1.0,1.0,1.0,0,-1.0
2024-02-15,3,1,52466.67,17488.89,-2467.497859,-822.4992863333333,0.0,0.0,3000.0,1.0,1.0,1.0,1.0,0,0.0
2024-02-16,2,1,49999.75,24999.875,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,1.0
2024-02-17,5,1,49852.74,9970.547999999999,147.01004999999998,29.402009999999997,1.0,0.0,5000.0,1.0,1.0,1.0,1.0,0,1.0
2024-02-19,4,1,43.79,10.9475,0.0037800000000000004,0.0009450000000000001,0.5,6.60807586719967,0.9995002498750625,1.0,1.0,1.0,1.0,0,-1.0
2024-02-20,2,1,21.79,10.895,-0.01449,-0.007245,0.0,48.79036790187178,0.9990009990009991,1.0,1.0,1.0,1.0,0,-1.0
2024-02-22,2,1,21.66,10.83,-0.00021,-0.000105,0.0,0.7071067811865476,0.9990009990009991,1.0,1.0,1.0,1.0,0,-1.0
2024-02-23,2,1,21.71,10.855,-0.00357,-0.001785,0.0,12.020815280171307,0.9990009990009991,1.0,1.0,1.0,1.0,0,1.0
2024-03-04,2,1,23.9,11.95,0.01178,0.00589,0.5,43.840620433565945,0.9990009990009991,1.0,1.0,1.0,1.0,0,-1.0
